Model,Accuracy,Precision,Recall,F1_Score
LogisticRegression,0.9859649122807017,0.9836956521739131,0.9945054945054945,0.9890710382513661
RidgeClassifierCV,0.9719298245614035,0.9627659574468085,0.9945054945054945,0.9783783783783784
RidgeClassifier,0.968421052631579,0.9625668449197861,0.989010989010989,0.975609756097561
SVC,0.9824561403508771,0.9836065573770492,0.989010989010989,0.9863013698630136
NuSVC,0.9543859649122807,0.9470899470899471,0.9835164835164835,0.9649595687331537
DecisionTreeClassifier,0.9403508771929825,0.9558011049723757,0.9505494505494505,0.953168044077135
ExtraTreeClassifier,0.9403508771929825,0.9508196721311475,0.9560439560439561,0.9534246575342465
RandomForestClassifier,0.968421052631579,0.9832402234636871,0.967032967032967,0.9750692520775623
GradientBoostingClassifier,0.9754385964912281,0.9781420765027322,0.9835164835164835,0.9808219178082191
HistGradientBoostingClassifier,0.968421052631579,0.9726775956284153,0.978021978021978,0.9753424657534246
AdaBoostClassifier,0.9719298245614035,0.978021978021978,0.978021978021978,0.978021978021978
ExtraTreesClassifier,0.9719298245614035,0.978021978021978,0.978021978021978,0.978021978021978
BaggingClassifier,0.9614035087719298,0.9885714285714285,0.9505494505494505,0.969187675070028
KNeighborsClassifier,0.9614035087719298,0.9621621621621622,0.978021978021978,0.9700272479564033
NearestCentroid,0.9473684210526315,0.93717277486911,0.9835164835164835,0.9597855227882037
BernoulliNB,0.9508771929824561,0.9719101123595506,0.9505494505494505,0.9611111111111111
GaussianNB,0.9543859649122807,0.9617486338797814,0.967032967032967,0.9643835616438357
LinearDiscriminantAnalysis,0.9614035087719298,0.9523809523809523,0.989010989010989,0.9703504043126685
QuadraticDiscriminantAnalysis,0.9649122807017544,0.9831460674157303,0.9615384615384616,0.9722222222222222
CalibratedClassifierCV,0.9789473684210527,0.9835164835164835,0.9835164835164835,0.9835164835164835
Perceptron,0.9859649122807017,0.989010989010989,0.989010989010989,0.989010989010989
DummyClassifier,0.6385964912280702,0.6385964912280702,1.0,0.7794432548179872
